"","doy","t","temp","seas","thresh"
"1",348,2005-12-13,9.94,10.7131,12.5328
"2",349,2005-12-14,9.6,10.6861,12.4906
"3",350,2005-12-15,9.75,10.6599,12.4366
"4",351,2005-12-16,9.61,10.6348,12.3805
"5",352,2005-12-17,9.82,10.6115,12.3263
"6",353,2005-12-18,10.18,10.5899,12.2751
"7",354,2005-12-19,10.73,10.5702,12.2279
"8",355,2005-12-20,11.04,10.5518,12.1826
"9",356,2005-12-21,12.09,10.5343,12.1375
"10",357,2005-12-22,12.29,10.5176,12.0963
"11",358,2005-12-23,12.39,10.5021,12.067
"12",359,2005-12-24,12.3,10.488,12.0421
"13",360,2005-12-25,12.74,10.4754,12.0204
"14",361,2005-12-26,12.74,10.4642,12.0017
"15",362,2005-12-27,12.69,10.4547,11.9832
"16",363,2005-12-28,12.93,10.4461,11.9664
"17",364,2005-12-29,12.51,10.4383,11.9497
"18",365,2005-12-30,12.53,10.4312,11.9325
"19",366,2005-12-31,12.42,10.4246,11.9154
"20",1,2006-01-01,12.35,10.4183,11.8983
"21",2,2006-01-02,12.41,10.4124,11.8823
"22",3,2006-01-03,12.15,10.4072,11.8665
"23",4,2006-01-04,12.24,10.4023,11.8512
"24",5,2006-01-05,12.33,10.3975,11.8334
"25",6,2006-01-06,12.24,10.3932,11.8143
"26",7,2006-01-07,12.17,10.3883,11.7984
"27",8,2006-01-08,11.96,10.383,11.7817
"28",9,2006-01-09,11.91,10.3769,11.7648
"29",10,2006-01-10,12.01,10.3701,11.7479
"30",11,2006-01-11,12.04,10.3625,11.7284
"31",12,2006-01-12,11.9,10.3553,11.6986
"32",13,2006-01-13,11.94,10.3483,11.6692
"33",14,2006-01-14,11.97,10.3417,11.6488
"34",15,2006-01-15,11.43,10.3352,11.6378
"35",16,2006-01-16,11.25,10.3285,11.6292
"36",17,2006-01-17,11.54,10.3216,11.6239
"37",18,2006-01-18,11.37,10.3148,11.6191
"38",19,2006-01-19,11.53,10.3084,11.6145
"39",20,2006-01-20,11.2,10.3025,11.6083
"40",21,2006-01-21,11.19,10.2971,11.6028
"41",22,2006-01-22,10.91,10.292,11.5962
"42",23,2006-01-23,10.79,10.2868,11.5832
"43",24,2006-01-24,10.82,10.2817,11.5686
"44",25,2006-01-25,10.68,10.2764,11.5571
"45",26,2006-01-26,10.65,10.271,11.549
