site_id,year,number_of_transect_locations,count,percent_cover
12,2001,1233,470,38.118410381184106
12,2003,1120,438,39.107142857142854
12,2004,1201,524,43.63030807660283
12,2010,667,300,44.97751124437781
12,2012,1217,504,41.41331142152835
12,2017,1239,644,51.9774011299435
12,2020,673,354,52.60029717682021
12,2023,1175,620,52.76595744680851
7,2010,647,81,12.5193199381762
7,2017,1166,218,18.69639794168096
7,2020,645,166,25.736434108527135
2,2014,1326,79,5.957767722473605
2,2017,1466,102,6.957708049113233
2,2018,1466,71,4.843110504774898
2,2020,1476,87,5.894308943089431
2,2021,1481,91,6.144496961512492
2,2023,1341,116,8.650260999254288
2,2024,1466,83,5.661664392905866
1,2001,1286,354,27.527216174183515
1,2003,1285,347,27.003891050583658
1,2004,1289,360,27.928626842513577
1,2013,1275,401,31.450980392156865
1,2019,1291,412,31.913245546088305
1,2023,1289,439,34.057408844065165
10,2010,810,68,8.395061728395062
10,2017,1505,321,21.32890365448505
10,2021,1505,306,20.33222591362126
9,2010,637,184,28.885400313971743
9,2020,637,279,43.79905808477237
17,2008,614,49,7.980456026058631
17,2017,1111,145,13.051305130513052
17,2021,1111,263,23.672367236723673
4,2010,608,2,0.3289473684210526
4,2017,1102,6,0.5444646098003629
4,2021,602,5,0.8305647840531563
16,2001,1241,215,17.32473811442385
16,2003,1307,244,18.668706962509564
16,2004,1287,232,18.026418026418025
16,2017,1245,332,26.666666666666668
16,2021,1241,343,27.63900080580177
14,2004,1274,310,24.332810047095762
14,2017,1234,336,27.22852512155591
14,2020,1261,364,28.865979381443296
6,2010,662,1,0.1510574018126888
6,2014,1158,3,0.2590673575129534
6,2020,1175,12,1.0212765957446808
13,2003,973,219,22.50770811921891
13,2006,1033,242,23.426911907066795
13,2017,1020,345,33.82352941176471
13,2020,1021,425,41.6258570029383
8,2001,1097,81,7.383773928896992
8,2005,1104,82,7.427536231884058
8,2010,604,55,9.105960264900661
8,2018,1109,135,12.173128944995492
8,2020,604,89,14.735099337748345
3,2001,1111,69,6.210621062106211
3,2006,1110,129,11.621621621621623
3,2014,1111,67,6.0306030603060305
5,2020,1132,2,0.17667844522968199
11,2010,620,26,4.193548387096775
