marine_site_name,marine_site_code,marine_sort_order,latitude,longitude,survey_rep,year,month,day,section,x_transect,location,point,final_classification,rank_final_classification,species_lump,min_rank_R_graph_classification,pc_point_type,tidal_elevation,y_planar,reference_type
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,5.8,2,mytilus californianus,1,Mytilus californianus,1,full_points,1.88667,5.035804,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,6,2,mytilus californianus,1,Mytilus californianus,1,full_points,1.58168,5.035804,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,6.4,3,mytilus californianus,1,Mytilus californianus,1,full_points,0.98667,5.035804,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,7.8,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.8467,6.234302,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,8,2,mytilus californianus,1,Mytilus californianus,1,full_points,1.85667,6.434053,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,8.2,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.72169,6.581635,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,8.4,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.58667,6.72918,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,8.6,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.18667,6.72918,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,8.8,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.14343,6.92445,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,9,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.10009,7.119698,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,9.2,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.05667,7.314927,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,10.2,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.19174,7.552412,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,10.4,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.86667,7.552412,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,10.6,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.93702,7.739631,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,10.8,1,mytilus californianus,1,Mytilus californianus,1,full_points,2.00713,7.92694,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,11,1,mytilus californianus,1,Mytilus californianus,1,full_points,2.07709,8.114305,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,11.2,2,mytilus californianus,1,Mytilus californianus,1,full_points,2.14701,8.301684,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,11.4,1,mytilus californianus,1,Mytilus californianus,1,full_points,2.21688,8.489083,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,11.8,1,mytilus californianus,1,Mytilus californianus,1,full_points,2.22832,8.86781,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,12,1,mytilus californianus,1,Mytilus californianus,1,full_points,2.16989,9.059085,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,12.6,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.99407,9.632745,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,12.8,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.93544,9.823959,GPS
Bodega,BML,5200,38.3181936,-123.07365,1,2001,7,7,1,0,13,1,mytilus californianus,1,Mytilus californianus,1,full_points,1.87667,10.015129,GPS
