site_id,georegion,year,season,survey_date,plot_code,total,plot_area_m2
1,OR,2000,Summer,8/1/00,1,1046,18
1,OR,2001,Summer,6/21/01,1,1366,18
1,OR,2002,Summer,6/27/02,1,155,18
1,OR,2003,Summer,7/13/03,1,233,18
1,OR,2004,Summer,7/30/04,1,335,18
1,OR,2005,Summer,7/21/05,1,259,18
1,OR,2006,Summer,7/11/06,1,278,18
1,OR,2007,Summer,7/12/07,1,931,18
1,OR,2008,Summer,7/1/08,1,502,18
1,OR,2009,Summer,7/20/09,1,489,18
1,OR,2010,Summer,7/10/10,1,830,18
1,OR,2011,Summer,7/13/11,1,670,18
1,OR,2012,Summer,7/2/12,1,554,18
1,OR,2013,Summer,7/21/13,1,309,18
1,OR,2014,Summer,7/11/14,1,67,18
1,OR,2015,Summer,7/15/15,1,24,18
1,OR,2016,Summer,7/19/16,1,361,18
1,OR,2017,Summer,7/10/17,1,161,18
1,OR,2018,Summer,7/14/18,1,84,18
1,OR,2019,Summer,7/4/19,1,353,18
1,OR,2021,Summer,7/13/21,1,260,18
1,OR,2022,Summer,6/29/22,1,221,18
1,OR,2023,Summer,7/5/23,1,186,18
1,OR,2024,Summer,7/24/24,1,77,18
2,CA North,2014,Summer,5/16/14,1,139,20
2,CA North,2014,Summer,5/16/14,2,363,20
2,CA North,2015,Fall,1/21/16,1,0,20
2,CA North,2015,Fall,1/21/16,2,0,20
2,CA North,2016,Summer,5/22/16,1,2,20
2,CA North,2016,Summer,5/22/16,2,431,20
2,CA North,2016,Fall,12/11/16,1,0,20
2,CA North,2017,Summer,5/27/17,1,0,20
2,CA North,2017,Summer,5/27/17,2,797,20
2,CA North,2018,Summer,5/28/18,1,0,20
2,CA North,2018,Summer,5/28/18,2,877,20
2,CA North,2019,Summer,5/19/19,1,0,20
2,CA North,2019,Summer,5/19/19,2,1345,20
2,CA North,2020,Summer,6/9/20,1,0,20
2,CA North,2020,Summer,6/9/20,2,852,20
2,CA North,2021,Summer,5/26/21,1,0,20
2,CA North,2021,Summer,5/26/21,2,1397,20
2,CA North,2022,Summer,5/17/22,1,0,20
2,CA North,2022,Summer,5/17/22,2,1217,20
2,CA North,2023,Summer,5/7/23,1,0,20
2,CA North,2023,Summer,5/7/23,2,437,20
2,CA North,2024,Summer,5/25/24,1,0,20
2,CA North,2024,Summer,5/25/24,2,574,20
3,CA North,2004,Summer,6/4/04,1,1739,10
3,CA North,2004,Summer,6/4/04,2,1334,10
3,CA North,2004,Summer,6/4/04,3,1453,10
3,CA North,2005,Summer,6/23/05,1,669,10
3,CA North,2005,Summer,6/23/05,2,588,10
3,CA North,2005,Summer,6/23/05,3,912,10
3,CA North,2006,Summer,6/15/06,1,992,10
3,CA North,2006,Summer,6/15/06,2,1241,10
3,CA North,2006,Summer,6/15/06,3,593,10
3,CA North,2007,Summer,6/18/07,1,1562,10
3,CA North,2007,Summer,6/18/07,2,1450,10
3,CA North,2007,Summer,6/18/07,3,989,10
3,CA North,2008,Summer,6/7/08,1,1276,10
3,CA North,2008,Summer,6/7/08,2,1387,10
3,CA North,2008,Summer,6/7/08,3,888,10
3,CA North,2009,Summer,6/26/09,1,907,10
3,CA North,2009,Summer,6/26/09,2,980,10
3,CA North,2009,Summer,6/26/09,3,621,10
3,CA North,2010,Summer,6/15/10,1,322,10
3,CA North,2010,Summer,6/15/10,2,264,10
3,CA North,2010,Summer,6/15/10,3,970,10
3,CA North,2011,Summer,6/18/11,1,1104,10
3,CA North,2011,Summer,6/18/11,2,735,10
3,CA North,2011,Summer,6/18/11,3,1188,10
3,CA North,2013,Summer,6/25/13,1,930,10
3,CA North,2013,Summer,6/25/13,2,999,10
3,CA North,2013,Summer,6/25/13,3,699,10
3,CA North,2014,Summer,6/17/14,1,945,10
3,CA North,2014,Summer,6/17/14,2,725,10
3,CA North,2014,Summer,6/17/14,3,1025,10
3,CA North,2015,Summer,6/19/15,1,96,10
3,CA North,2015,Summer,6/19/15,2,66,10
3,CA North,2015,Summer,6/19/15,3,208,10
3,CA North,2016,Summer,6/7/16,1,122,10
3,CA North,2016,Summer,6/7/16,2,52,10
3,CA North,2016,Summer,6/7/16,3,254,10
3,CA North,2018,Summer,7/16/18,1,30,10
3,CA North,2018,Summer,7/16/18,2,1,10
3,CA North,2018,Summer,7/16/18,3,246,10
3,CA North,2019,Summer,6/19/19,1,0,10
3,CA North,2019,Summer,6/19/19,2,0,10
3,CA North,2019,Summer,6/19/19,3,68,10
3,CA North,2020,Summer,8/5/20,1,0,10
3,CA North,2020,Summer,8/5/20,2,0,10
3,CA North,2020,Summer,8/5/20,3,109,10
3,CA North,2021,Summer,7/12/21,1,0,10
3,CA North,2021,Summer,7/12/21,2,0,10
3,CA North,2021,Summer,7/12/21,3,113,10
3,CA North,2022,Summer,6/18/22,1,0,10
3,CA North,2022,Summer,6/18/22,2,0,10
3,CA North,2022,Summer,6/18/22,3,71,10
3,CA North,2023,Summer,6/7/23,1,0,10
3,CA North,2023,Summer,6/7/23,2,0,10
3,CA North,2023,Summer,6/7/23,3,12,10
3,CA North,2024,Summer,6/25/24,1,0,10
3,CA North,2024,Summer,6/25/24,2,0,10
3,CA North,2024,Summer,6/25/24,3,5,10
4,CA North,2010,Summer,5/19/10,1,2174,40
4,CA North,2010,Summer,5/19/10,2,2310,40
4,CA North,2010,Summer,5/19/10,3,1889,40
4,CA North,2011,Summer,6/3/11,1,1959,40
4,CA North,2011,Summer,6/3/11,2,1898,40
4,CA North,2011,Summer,6/3/11,3,2591,40
4,CA North,2017,Summer,6/26/17,1,1622,40
4,CA North,2017,Summer,6/26/17,2,1638,40
4,CA North,2017,Summer,6/26/17,3,1667,40
4,CA North,2020,Summer,7/21/20,1,883,40
4,CA North,2020,Summer,7/21/20,2,1061,40
4,CA North,2020,Summer,7/21/20,3,1298,40
4,CA North,2021,Summer,6/27/21,1,1362,40
4,CA North,2021,Summer,6/27/21,2,1436,40
4,CA North,2021,Summer,6/27/21,3,1232,40
4,CA North,2022,Summer,6/15/22,1,1443,40
4,CA North,2022,Summer,6/15/22,2,1313,40
4,CA North,2022,Summer,6/15/22,3,1141,40
4,CA North,2023,Summer,6/4/23,1,2534,40
4,CA North,2023,Summer,6/4/23,2,2222,40
4,CA North,2023,Summer,6/4/23,3,3015,40
4,CA North,2024,Summer,6/6/24,1,675,40
4,CA North,2024,Summer,6/6/24,2,984,40
4,CA North,2024,Summer,6/6/24,3,1652,40
5,CA North,2010,Summer,6/12/10,1,67,17
5,CA North,2010,Summer,6/12/10,2,380,26
5,CA North,2010,Summer,6/12/10,3,535,22
5,CA North,2011,Summer,6/15/11,1,99,17
5,CA North,2011,Summer,6/15/11,2,451,26
5,CA North,2011,Summer,6/15/11,3,1006,22
5,CA North,2015,Summer,6/16/15,1,9,17
5,CA North,2015,Summer,6/16/15,2,8,26
5,CA North,2015,Summer,6/16/15,3,88,22
5,CA North,2016,Summer,6/5/16,1,18,17
5,CA North,2016,Summer,6/5/16,2,38,26
5,CA North,2017,Summer,6/25/17,1,15,17
5,CA North,2017,Summer,6/25/17,2,76,26
5,CA North,2018,Summer,6/14/18,1,62,17
5,CA North,2018,Summer,6/14/18,2,279,26
5,CA North,2018,Summer,6/14/18,3,576,22
5,CA North,2019,Summer,6/17/19,1,72,17
5,CA North,2019,Summer,6/17/19,2,213,26
5,CA North,2020,Summer,7/20/20,1,98,17
5,CA North,2020,Summer,7/20/20,2,276,26
5,CA North,2021,Summer,6/25/21,1,209,17
5,CA North,2021,Summer,6/25/21,2,652,26
5,CA North,2021,Summer,6/25/21,3,624,22
5,CA North,2022,Summer,6/16/22,1,299,17
5,CA North,2022,Summer,6/16/22,2,1018,26
5,CA North,2022,Summer,6/16/22,3,838,22
5,CA North,2023,Summer,6/5/23,1,153,17
5,CA North,2023,Summer,6/5/23,2,639,26
5,CA North,2024,Summer,6/7/24,1,177,17
5,CA North,2024,Summer,6/7/24,2,926,26
6,CA North,2010,Summer,6/13/10,1,308,20
6,CA North,2010,Summer,6/13/10,2,429,20
6,CA North,2010,Summer,6/13/10,3,934,20
6,CA North,2011,Summer,5/7/11,1,604,20
6,CA North,2011,Summer,5/7/11,2,486,20
6,CA North,2011,Summer,5/7/11,3,1645,20
6,CA North,2020,Summer,7/22/20,1,816,20
6,CA North,2020,Summer,7/22/20,2,699,20
6,CA North,2020,Summer,7/22/20,3,1393,20
7,CA North,2010,Summer,5/18/10,1,1230,40
7,CA North,2010,Summer,5/18/10,2,669,40
7,CA North,2010,Summer,5/18/10,3,610,10
7,CA North,2011,Summer,6/1/11,1,1905,40
7,CA North,2011,Summer,6/1/11,2,435,40
7,CA North,2011,Summer,6/1/11,3,336,10
7,CA North,2017,Summer,6/24/17,1,828,40
7,CA North,2017,Summer,6/24/17,2,122,40
7,CA North,2017,Summer,6/24/17,3,222,10
7,CA North,2020,Summer,7/6/20,1,652,40
7,CA North,2020,Summer,7/6/20,2,87,40
7,CA North,2020,Summer,7/6/20,3,2,10
8,CA North,2004,Summer,6/6/04,1,282,10
8,CA North,2004,Summer,6/6/04,2,1974,14
8,CA North,2005,Summer,6/25/05,1,137,10
8,CA North,2005,Summer,6/25/05,2,1104,14
8,CA North,2006,Summer,6/12/06,1,279,10
8,CA North,2006,Summer,6/12/06,2,1139,14
8,CA North,2007,Summer,6/14/07,1,301,10
8,CA North,2007,Summer,6/14/07,2,1907,14
8,CA North,2008,Summer,6/3/08,1,530,10
8,CA North,2008,Summer,6/3/08,2,2434,14
8,CA North,2009,Summer,6/22/09,1,4,10
8,CA North,2009,Summer,6/22/09,2,1121,14
8,CA North,2010,Summer,6/11/10,1,0,10
8,CA North,2010,Summer,6/11/10,2,1052,14
8,CA North,2011,Summer,6/14/11,1,0,10
8,CA North,2011,Summer,6/14/11,2,2231,14
8,CA North,2012,Summer,7/6/12,1,0,10
8,CA North,2012,Summer,7/6/12,2,758,14
8,CA North,2013,Summer,6/22/13,1,0,10
8,CA North,2013,Summer,6/22/13,2,301,14
8,CA North,2014,Summer,6/12/14,1,0,10
8,CA North,2014,Summer,6/12/14,2,196,14
8,CA North,2015,Summer,6/15/15,1,0,10
8,CA North,2015,Summer,6/15/15,2,14,14
8,CA North,2016,Summer,6/4/16,1,0,10
8,CA North,2016,Summer,6/4/16,2,21,14
8,CA North,2017,Summer,6/23/17,1,0,10
8,CA North,2017,Summer,6/23/17,2,39,14
8,CA North,2018,Summer,6/15/18,1,0,10
8,CA North,2018,Summer,6/15/18,2,75,14
8,CA North,2019,Summer,6/16/19,1,0,10
8,CA North,2019,Summer,6/16/19,2,25,14
8,CA North,2020,Summer,7/6/20,1,0,10
8,CA North,2020,Summer,7/6/20,2,42,14
8,CA North,2021,Summer,6/28/21,1,0,10
8,CA North,2021,Summer,6/28/21,2,35,14
8,CA North,2022,Summer,6/15/22,1,0,10
8,CA North,2022,Summer,6/15/22,2,4,14
8,CA North,2023,Summer,6/4/23,1,0,10
8,CA North,2023,Summer,6/4/23,2,3,14
8,CA North,2024,Summer,6/8/24,1,0,10
8,CA North,2024,Summer,6/8/24,2,1,14
9,CA North,2010,Summer,6/16/10,1,556,14
9,CA North,2010,Summer,6/16/10,2,319,20
9,CA North,2010,Summer,6/16/10,3,639,24
9,CA North,2011,Summer,5/19/11,1,447,14
9,CA North,2011,Summer,5/19/11,2,476,20
9,CA North,2011,Summer,5/19/11,3,840,24
9,CA North,2020,Summer,7/8/20,1,492,14
9,CA North,2020,Summer,7/8/20,2,588,20
9,CA North,2020,Summer,7/8/20,3,1187,24
10,CA North,2010,Summer,6/14/10,1,511,24
10,CA North,2011,Summer,5/18/11,1,532,24
10,CA North,2017,Summer,6/27/17,1,568,24
10,CA North,2019,Summer,8/3/19,1,168,24
10,CA North,2020,Summer,7/5/20,1,471,24
10,CA North,2021,Summer,6/26/21,1,998,24
10,CA North,2022,Summer,6/14/22,1,501,24
10,CA North,2023,Summer,6/3/23,1,632,24
10,CA North,2024,Summer,6/5/24,1,242,24
11,CA North,2010,Summer,6/30/10,1,906,14
11,CA North,2010,Summer,6/30/10,2,414,16
11,CA North,2010,Summer,6/30/10,3,532,16
11,CA North,2011,Summer,5/8/11,1,1207,14
11,CA North,2011,Summer,5/8/11,2,417,16
11,CA North,2011,Summer,5/8/11,3,1382,16
11,CA North,2020,Summer,8/18/20,1,8,14
11,CA North,2020,Summer,8/18/20,2,0,16
11,CA North,2020,Summer,8/18/20,3,0,16
12,CA North,2002,Summer,6/23/02,1,306,20
