site_id,year,species_lump,tidal_elevation,count
K,2001,Mytilus californianus,1.88667,1
K,2001,Mytilus californianus,1.58168,1
K,2001,Mytilus californianus,0.98667,1
K,2001,Mytilus californianus,1.8467,1
K,2001,Mytilus californianus,1.85667,1
K,2001,Mytilus californianus,1.72169,1
K,2001,Mytilus californianus,1.58667,1
K,2001,Mytilus californianus,1.18667,1
K,2001,Mytilus californianus,1.14343,1
K,2001,Mytilus californianus,1.10009,1
K,2001,Mytilus californianus,1.05667,1
K,2001,Mytilus californianus,1.19174,1
K,2001,Mytilus californianus,1.86667,1
K,2001,Mytilus californianus,1.93702,1
K,2001,Mytilus californianus,2.00713,1
K,2001,Mytilus californianus,2.07709,1
K,2001,Mytilus californianus,2.14701,1
K,2001,Mytilus californianus,2.21688,1
K,2001,Mytilus californianus,2.22832,1
K,2001,Mytilus californianus,2.16989,1
K,2001,Mytilus californianus,1.99407,1
K,2001,Mytilus californianus,1.93544,1
K,2001,Mytilus californianus,1.87667,1
K,2001,Mytilus californianus,1.67667,1
K,2001,Mytilus californianus,1.73667,1
K,2001,Mytilus californianus,1.84346,1
K,2001,Mytilus californianus,1.95012,1
K,2001,Mytilus californianus,2.05667,1
K,2001,Mytilus californianus,2.02282,1
K,2001,Mytilus californianus,1.98891,1
K,2001,Mytilus californianus,1.95478,1
K,2001,Mytilus californianus,1.92074,1
K,2001,Mytilus californianus,1.88667,1
K,2001,Mytilus californianus,1.76243,1
K,2001,Mytilus californianus,1.63813,1
K,2001,Postelsia palmaeformis,1.51378,1
K,2001,Mytilus californianus,1.51378,1
K,2001,Postelsia palmaeformis,1.38942,1
K,2001,Mytilus californianus,1.265,1
K,2001,Postelsia palmaeformis,1.265,1
K,2001,Mytilus californianus,0.97834,1
K,2001,Postelsia palmaeformis,0.97834,1
K,2001,Mytilus californianus,0.81978,1
K,2001,Postelsia palmaeformis,0.81978,1
K,2001,Mytilus californianus,0.78927,1
K,2001,Mytilus californianus,0.75875,1
K,2001,Mytilus californianus,0.72836,1
K,2001,Mytilus californianus,0.69773,1
K,2001,Mytilus californianus,0.66711,1
K,2001,Mytilus californianus,0.6367,1
K,2001,Mytilus californianus,0.575,1
K,2001,Mytilus californianus,2.1633,1
K,2001,Mytilus californianus,2.00667,1
K,2001,Mytilus californianus,2.0466,1
K,2001,Mytilus californianus,1.97667,1
K,2001,Mytilus californianus,2.08667,1
K,2001,Mytilus californianus,2.13445,1
K,2001,Mytilus californianus,2.18235,1
K,2001,Mytilus californianus,2.23042,1
K,2001,Mytilus californianus,2.27852,1
K,2001,Mytilus californianus,2.26667,1
K,2001,Mytilus californianus,1.74668,1
K,2001,Mytilus californianus,1.48667,1
K,2001,Mytilus californianus,0.87667,1
K,2001,Mytilus californianus,1.88667,1
K,2001,Mytilus californianus,2.10667,1
K,2001,Mytilus californianus,2.21671,1
K,2001,Mytilus californianus,2.32667,1
K,2001,Mytilus californianus,2.34343,1
K,2001,Mytilus californianus,2.37667,1
K,2001,Mytilus californianus,2.36674,1
K,2001,Mytilus californianus,2.35667,1
K,2001,Mytilus californianus,2.09667,1
K,2001,Mytilus californianus,2.03667,1
K,2001,Mytilus californianus,1.8448,1
K,2001,Mytilus californianus,1.74882,1
K,2001,Mytilus californianus,1.23667,1
K,2001,Postelsia palmaeformis,0.55667,1
K,2001,Mytilus californianus,0.61667,1
K,2001,Mytilus californianus,1.06667,1
K,2001,Mytilus californianus,1.14164,1
K,2001,Mytilus californianus,1.21667,1
K,2001,Mytilus californianus,1.24166,1
K,2001,Mytilus californianus,1.26667,1
K,2001,Mytilus californianus,1.18665,1
K,2001,Mytilus californianus,1.14667,1
K,2001,Mytilus californianus,1.12665,1
K,2001,Mytilus californianus,1.10663,1
K,2001,Mytilus californianus,1.08659,1
K,2001,Mytilus californianus,1.06668,1
K,2001,Mytilus californianus,1.04667,1
K,2001,Mytilus californianus,1.02672,1
K,2001,Mytilus californianus,1.00668,1
K,2001,Mytilus californianus,0.98668,1
K,2001,Mytilus californianus,0.96667,1
K,2001,Mytilus californianus,0.90667,1
K,2001,Mytilus californianus,0.8067,1
K,2001,Mytilus californianus,0.70669,1
K,2001,Mytilus californianus,0.60667,1
K,2001,Mytilus californianus,0.62005,1
K,2001,Mytilus californianus,2.12646,1
K,2001,Mytilus californianus,1.96643,1
K,2001,Mytilus californianus,1.93667,1
