marine_site_name,site_code,pan,year,total,postelsia,mussel,percent_postelsia,percent_mussel
Shelter Cove,SHT,a,2013,6935128,2621835,26658,37.80514217,0.384390887
Shelter Cove,SHT,a,2014,1024529,365409,0,35.66604752,0
Shelter Cove,SHT,a,2015,31.36,11.97,3.105,38.16964286,9.901147959
Shelter Cove,SHT,a,2016,29.361,8.27,15.72,28.16661558,53.54041075
Shelter Cove,SHT,a,2018,21.91,6.09,14.95,27.79552716,68.23368325
Shelter Cove,SHT,a,2019,1737298,125023,1567126,7.196404992,90.20478928
Shelter Cove,SHT,a,2021,4687614,389097,3967419,8.300534131,84.63621365
Shelter Cove,SHT,b,2013,2987493,2158360,16563,72.24652911,0.554411341
Shelter Cove,SHT,b,2014,685883,491026,0,71.59034413,0
Shelter Cove,SHT,b,2015,18.48,1.43,0,7.738095238,0
Shelter Cove,SHT,b,2016,23.04,0.494,19.26,2.144097222,83.59375
Shelter Cove,SHT,b,2018,18.669,0,17.17,0,91.97064653
Shelter Cove,SHT,b,2019,2054640,0,1999646,0,97.32342405
Shelter Cove,SHT,b,2021,1898840,0,1848389,0,97.34306208
Sea Ranch,SEA,a,2012,8769640,4809613,994458,54.84390465,11.33978134
Sea Ranch,SEA,a,2013,1957512,489334,811525,24.99775225,41.45696169
Sea Ranch,SEA,a,2014,2158669,554843,888476,25.70301422,41.15851017
Sea Ranch,SEA,a,2015,1138640,7089,615545,0.622584838,54.05966767
Sea Ranch,SEA,a,2017,1115416,11149,609180,0.999537392,54.61460119
Sea Ranch,SEA,a,2018,1126334,29499,664850,2.619027748,59.02778394
Sea Ranch,SEA,a,2019,4870255,41115,3564955,0.84420631,73.19852862
Sea Ranch,SEA,a,2020,4016355,28253,3236303,0.703448774,80.57811125
Sea Ranch,SEA,a,2021,2212837,48700,1564507,2.200794726,70.70141181
Sea Ranch,SEA,b,2012,6294813,2884673,994458,45.82619055,15.79805468
Sea Ranch,SEA,b,2013,1343804,285637,621830,21.25585279,46.27386137
Sea Ranch,SEA,b,2014,1623405,252920,811493,15.57959967,49.98709503
Sea Ranch,SEA,b,2015,788592,2325,452419,0.294829265,57.37047802
Sea Ranch,SEA,b,2017,746933,7544,395978,1.009996881,53.013858
Sea Ranch,SEA,b,2018,820510,27245,474700,3.320495789,57.85426137
Sea Ranch,SEA,b,2019,3045316,41115,2169405,1.350106196,71.2374348
Sea Ranch,SEA,b,2021,1354117,0,751014,0,55.46152954
Bodega,BML,a,2012,7166552,2223022,3270156,31.01940794,45.63081381
Bodega,BML,a,2013,5.152,1.612,2.337,31.28881988,45.36102484
Bodega,BML,a,2014,5.024,2.108,1.741,41.95859873,34.65366242
Bodega,BML,a,2016,5.818,0.232,4.05,3.987624613,69.61155036
Bodega,BML,a,2017,5.039,0.649,3.56,12.87953959,70.64893828
Bodega,BML,a,2018,4.795,0.454,3.433,9.468196038,71.59541189
Bodega,BML,a,2019,4391603,87522,3337885,1.992939708,76.00607341
Bodega,BML,a,2021,3224195,374134,1620020,11.60395075,50.24572025
Scott Creek,SCT,a,2012,1755530,1102628,55800,62.80883836,3.178527282
Scott Creek,SCT,a,2014,2133204,385045,502714,18.05007866,23.56614745
Scott Creek,SCT,a,2016,8.531,0.4046,6.231,4.742703083,73.03950299
Scott Creek,SCT,a,2018,1332332,2586,1165739,0.194095766,87.4961346
Scott Creek,SCT,a,2020,1024182,22633,830261,2.209861138,81.06576761
Scott Creek,SCT,a,2021,1043565,163136,719874,15.63256721,68.98219086
Point Sierra Nevada,PSN,a,2012,2174239,701357,243691,32.2575853,11.20810546
Point Sierra Nevada,PSN,a,2013,2329172,1333845,145601,57.26691717,6.251191411
Point Sierra Nevada,PSN,a,2014,2032780,872698,108384,42.9312567,5.331811608
Point Sierra Nevada,PSN,a,2015,805986,0,106090,0,13.16275965
Point Sierra Nevada,PSN,a,2016,2220493,0,455717,0,20.52323516
Point Sierra Nevada,PSN,a,2017,654623,0,195484,0,29.86207328
Point Sierra Nevada,PSN,a,2018,1532592,0,871256,0,56.84852851
Point Sierra Nevada,PSN,a,2019,1341920,0,735022,0,54.77390605
Point Sierra Nevada,PSN,a,2020,1019377,0,571626,0,56.07601506
Point Sierra Nevada,PSN,a,2021,870621,0,424281,0,48.73314565
