group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,survey_date,target_assemblage,species_code,plot_code,total,plot_area_m2,method_code,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,last_updated
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2000,Summer,SU00,78,8/1/00,postelsia,POSPAL,1,1046,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2001,Summer,SU01,82,6/21/01,postelsia,POSPAL,1,1366,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2002,Summer,SU02,86,6/27/02,postelsia,POSPAL,1,155,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2003,Summer,SU03,90,7/13/03,postelsia,POSPAL,1,233,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2004,Summer,SU04,94,7/30/04,postelsia,POSPAL,1,335,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2005,Summer,SU05,98,7/21/05,postelsia,POSPAL,1,259,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2006,Summer,SU06,102,7/11/06,postelsia,POSPAL,1,278,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2007,Summer,SU07,106,7/12/07,postelsia,POSPAL,1,931,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2008,Summer,SU08,110,7/1/08,postelsia,POSPAL,1,502,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2009,Summer,SU09,114,7/20/09,postelsia,POSPAL,1,489,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
