group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,min_survey_date,max_survey_date,target_assemblage,species_code,size_bin,total,num_plots_sampled,method_code,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,site_type,last_updated
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2006,Spring,SP06,101,2006-03-26,2006-03-26,sea_star,PISOCH,NM,50,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2006,Fall,FA06,103,2006-11-04,2006-11-04,sea_star,PISOCH,NM,25,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2007,Spring,SP07,105,2007-04-14,2007-04-14,sea_star,PISOCH,NM,74,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2007,Fall,FA07,107,2007-10-27,2007-10-27,sea_star,PISOCH,NM,66,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2008,Spring,SP08,109,2008-03-16,2008-03-16,sea_star,PISOCH,NM,24,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2008,Fall,FA08,111,2008-11-26,2008-11-26,sea_star,PISOCH,NM,115,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2009,Spring,SP09,113,2009-04-05,2009-04-05,sea_star,PISOCH,NM,102,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2009,Fall,FA09,115,2009-11-01,2009-11-01,sea_star,PISOCH,NM,78,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2010,Spring,SP10,117,2010-03-27,2010-03-27,sea_star,PISOCH,NM,111,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2010,Fall,FA10,119,2010-11-06,2010-11-06,sea_star,PISOCH,NM,78,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2011,Spring,SP11,121,2011-03-28,2011-03-28,sea_star,PISOCH,NM,81,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2011,Fall,FA11,123,2011-10-27,2011-10-27,sea_star,PISOCH,NM,104,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,90,4,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,100,5,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,110,22,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,120,29,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,130,23,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,140,18,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,150,12,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,160,4,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,170,1,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,180,4,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,190,2,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,NM,23,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,30,3,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,40,6,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,50,6,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,60,1,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,70,4,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
CSUF,Crystal Cove,CRCO,33.57078171,-117.83773,33.57078171,-117.83773,6660,2012,Spring,SP12,125,2012-04-10,2012-04-10,sea_star,PISOCH,80,5,1,GSES,California,CA South,Government Point to Mexico,SMCA,South Coast,South Coast,Crystal Cove SMCA,Mainland,intertidal,2022-04-25 11:24:06
